quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,683,0,597,86,1,0.0,0.0
0:1,703,0,601,102,1,0.0,9.297563190637049e-05
0:2,688,0,511,177,1,0.0,0.00018595126381274098
0:3,700,0,525,175,1,0.0,0.0002789268957191115
0:4,684,0,515,169,1,0.0,0.00037190252762548195
0:5,505,0,384,121,1,0.0,0.0004648781595318524
0:6,0,0,0,0,1,0.0,0.0005578537914382229
1:0,685,0,542,143,1,-9.360224087471372e-05,0.0
1:1,790,0,641,149,1,-9.36022408745901e-05,9.297563190649372e-05
1:2,773,0,575,198,1,-9.360224087446523e-05,0.00018595126381298744
1:3,736,0,434,302,1,-9.36022408743403e-05,0.00027892689571948115
1:4,629,0,297,332,2,-9.360224087421542e-05,0.0003719025276259749
1:5,489,0,195,294,2,-9.360224087409052e-05,0.0004648781595324686
1:6,0,0,0,0,2,-9.360224087396562e-05,0.0005578537914389623
2:0,372,0,97,275,2,-0.0001872044817494224,0.0
2:1,682,0,440,242,1,-0.00018720448174917333,9.297563190686345e-05
2:2,764,0,565,199,1,-0.00018720448174892353,0.0001859512638137269
2:3,777,0,449,328,1,-0.00018720448174867373,0.00027892689572059034
2:4,716,0,254,462,2,-0.0001872044817484239,0.0003719025276274538
2:5,454,0,168,286,2,-0.00018720448174817415,0.00046487815953431724
2:6,0,0,0,0,2,-0.0001872044817479243,0.0005578537914411807
3:0,84,0,4,80,2,-0.0002808067226241211,0.0
3:1,375,0,170,205,2,-0.0002808067226237496,9.297563190747961e-05
3:2,336,0,255,81,1,-0.00028080672262337486,0.00018595126381495923
3:3,393,0,231,162,1,-0.00028080672262300016,0.00027892689572243885
3:4,379,0,141,238,2,-0.00028080672262262546,0.0003719025276299185
3:5,263,0,102,161,2,-0.00028080672262225076,0.0004648781595373981
3:6,0,0,0,0,2,-0.0002808067226218761,0.0005578537914448777
4:0,0,0,0,0,2,-0.0003744089634988047,0.0
4:1,0,0,0,0,2,-0.000374408963498305,9.297563190834231e-05
4:2,0,0,0,0,2,-0.0003744089634978054,0.0001859512638166846
4:3,0,0,0,0,2,-0.00037440896349730577,0.0002789268957250269
4:4,0,0,0,0,2,-0.00037440896349680617,0.0003719025276333692
4:5,0,0,0,0,2,-0.0003744089634963066,0.0004648781595417115
4:6,0,0,0,0,2,-0.00037440896349580697,0.0005578537914500538
